UNCLOSED POSITIONS DETAILED REPORT
====================================================================================================
Generated: 2025-11-18 20:40:08.884789
Total Unclosed: 251
Total Trapped Margin: $64,429.40


XRP/USDT (49 positions)
----------------------------------------------------------------------------------------------------
  ID: 173 | Time: 2025-11-06 15:15:06 | Age: 12d 5h | Side: SHORT | Amount: 0.7727 | Price: $0.53 | Margin: $0.02 | Fee: $0.00
  ID: 180 | Time: 2025-11-06 15:23:19 | Age: 12d 5h | Side: SHORT | Amount: 0.5516 | Price: $0.53 | Margin: $0.01 | Fee: $0.00
  ID: 184 | Time: 2025-11-06 15:28:07 | Age: 12d 5h | Side: SHORT | Amount: 0.0013 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 188 | Time: 2025-11-06 15:32:13 | Age: 12d 5h | Side: SHORT | Amount: 0.2858 | Price: $0.53 | Margin: $0.01 | Fee: $0.00
  ID: 190 | Time: 2025-11-06 15:36:40 | Age: 12d 5h | Side: SHORT | Amount: 0.0007 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 193 | Time: 2025-11-06 15:40:31 | Age: 12d 4h | Side: SHORT | Amount: 0.2066 | Price: $0.52 | Margin: $0.01 | Fee: $0.00
  ID: 203 | Time: 2025-11-06 15:48:43 | Age: 12d 4h | Side: SHORT | Amount: 0.1066 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 207 | Time: 2025-11-06 15:58:09 | Age: 12d 4h | Side: SHORT | Amount: 0.0646 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 217 | Time: 2025-11-06 16:07:47 | Age: 12d 4h | Side: SHORT | Amount: 0.0331 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 221 | Time: 2025-11-06 16:15:26 | Age: 12d 4h | Side: SHORT | Amount: 0.0000 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 232 | Time: 2025-11-06 16:25:55 | Age: 12d 4h | Side: SHORT | Amount: 0.0088 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 237 | Time: 2025-11-06 16:33:44 | Age: 12d 4h | Side: SHORT | Amount: 0.0000 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 240 | Time: 2025-11-06 16:36:50 | Age: 12d 4h | Side: SHORT | Amount: 0.0054 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 246 | Time: 2025-11-06 16:42:56 | Age: 12d 3h | Side: SHORT | Amount: 0.0000 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 252 | Time: 2025-11-06 16:46:52 | Age: 12d 3h | Side: SHORT | Amount: 0.0017 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 262 | Time: 2025-11-06 16:54:35 | Age: 12d 3h | Side: SHORT | Amount: 0.0005 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 266 | Time: 2025-11-06 16:59:09 | Age: 12d 3h | Side: SHORT | Amount: 0.0000 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 271 | Time: 2025-11-06 17:02:02 | Age: 12d 3h | Side: SHORT | Amount: 0.0002 | Price: $0.52 | Margin: $0.00 | Fee: $0.00
  ID: 299 | Time: 2025-11-06 17:15:02 | Age: 12d 3h | Side: SHORT | Amount: 24335.6617 | Price: $0.52 | Margin: $638.42 | Fee: $12.77
  ID: 304 | Time: 2025-11-06 17:15:22 | Age: 12d 3h | Side: SHORT | Amount: 20616.6321 | Price: $0.52 | Margin: $540.86 | Fee: $10.82
  ID: 325 | Time: 2025-11-06 17:31:40 | Age: 12d 3h | Side: SHORT | Amount: 20921.3478 | Price: $0.52 | Margin: $548.85 | Fee: $10.98
  ID: 326 | Time: 2025-11-06 17:31:42 | Age: 12d 3h | Side: SHORT | Amount: 20262.5929 | Price: $0.52 | Margin: $531.57 | Fee: $10.63
  ID: 361 | Time: 2025-11-06 18:21:37 | Age: 12d 2h | Side: LONG | Amount: 24743.0567 | Price: $0.52 | Margin: $646.23 | Fee: $12.92
  ID: 369 | Time: 2025-11-06 18:58:11 | Age: 12d 1h | Side: LONG | Amount: 63331.5508 | Price: $0.53 | Margin: $1,682.47 | Fee: $33.65
  Subtotal: $4,904.14

DOGE/USDT (47 positions)
----------------------------------------------------------------------------------------------------
  ID: 27 | Time: 2025-11-06 09:03:05 | Age: 12d 11h | Side: SHORT | Amount: 87565.5976 | Price: $0.16 | Margin: $714.19 | Fee: $14.28
  ID: 32 | Time: 2025-11-06 09:19:38 | Age: 12d 11h | Side: SHORT | Amount: 44899.9759 | Price: $0.16 | Margin: $367.57 | Fee: $7.35
  ID: 37 | Time: 2025-11-06 09:46:48 | Age: 12d 10h | Side: SHORT | Amount: 5616.9501 | Price: $0.16 | Margin: $45.88 | Fee: $0.92
  ID: 38 | Time: 2025-11-06 09:53:55 | Age: 12d 10h | Side: SHORT | Amount: 4770.4047 | Price: $0.16 | Margin: $38.86 | Fee: $0.78
  ID: 41 | Time: 2025-11-06 10:08:55 | Age: 12d 10h | Side: SHORT | Amount: 2904.0618 | Price: $0.16 | Margin: $23.61 | Fee: $0.47
  ID: 45 | Time: 2025-11-06 10:16:29 | Age: 12d 10h | Side: SHORT | Amount: 1763.8806 | Price: $0.16 | Margin: $14.35 | Fee: $0.29
  ID: 47 | Time: 2025-11-06 10:32:06 | Age: 12d 10h | Side: SHORT | Amount: 1260.2342 | Price: $0.16 | Margin: $10.29 | Fee: $0.21
  ID: 55 | Time: 2025-11-06 10:57:19 | Age: 12d 9h | Side: SHORT | Amount: 465.7476 | Price: $0.16 | Margin: $3.80 | Fee: $0.08
  ID: 63 | Time: 2025-11-06 11:23:28 | Age: 12d 9h | Side: SHORT | Amount: 172.7420 | Price: $0.16 | Margin: $1.40 | Fee: $0.03
  ID: 66 | Time: 2025-11-06 11:31:00 | Age: 12d 9h | Side: SHORT | Amount: 123.6603 | Price: $0.16 | Margin: $1.01 | Fee: $0.02
  ID: 73 | Time: 2025-11-06 12:09:26 | Age: 12d 8h | Side: SHORT | Amount: 45.6538 | Price: $0.16 | Margin: $0.37 | Fee: $0.01
  ID: 77 | Time: 2025-11-06 12:28:00 | Age: 12d 8h | Side: SHORT | Amount: 8609.8781 | Price: $0.16 | Margin: $69.85 | Fee: $1.40
  ID: 79 | Time: 2025-11-06 12:33:29 | Age: 12d 8h | Side: SHORT | Amount: 23.5838 | Price: $0.16 | Margin: $0.19 | Fee: $0.00
  ID: 81 | Time: 2025-11-06 12:35:41 | Age: 12d 8h | Side: SHORT | Amount: 6176.8040 | Price: $0.16 | Margin: $50.11 | Fee: $1.00
  ID: 84 | Time: 2025-11-06 12:40:39 | Age: 12d 7h | Side: SHORT | Amount: 14.3651 | Price: $0.16 | Margin: $0.12 | Fee: $0.00
  ID: 87 | Time: 2025-11-06 12:43:24 | Age: 12d 7h | Side: SHORT | Amount: 3766.3052 | Price: $0.16 | Margin: $30.45 | Fee: $0.61
  ID: 97 | Time: 2025-11-06 12:59:27 | Age: 12d 7h | Side: SHORT | Amount: 1644.0834 | Price: $0.16 | Margin: $13.27 | Fee: $0.27
  ID: 101 | Time: 2025-11-06 13:04:05 | Age: 12d 7h | Side: SHORT | Amount: 3.2350 | Price: $0.16 | Margin: $0.03 | Fee: $0.00
  ID: 106 | Time: 2025-11-06 13:07:36 | Age: 12d 7h | Side: SHORT | Amount: 717.6390 | Price: $0.16 | Margin: $5.79 | Fee: $0.12
  ID: 117 | Time: 2025-11-06 13:37:51 | Age: 12d 7h | Side: SHORT | Amount: 1.6475 | Price: $0.16 | Margin: $0.01 | Fee: $0.00
  ID: 131 | Time: 2025-11-06 14:19:33 | Age: 12d 6h | Side: SHORT | Amount: 0.6118 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 134 | Time: 2025-11-06 14:27:50 | Age: 12d 6h | Side: SHORT | Amount: 0.3717 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 138 | Time: 2025-11-06 14:33:19 | Age: 12d 6h | Side: SHORT | Amount: 30.5278 | Price: $0.16 | Margin: $0.25 | Fee: $0.00
  ID: 142 | Time: 2025-11-06 14:35:37 | Age: 12d 6h | Side: SHORT | Amount: 0.1918 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 144 | Time: 2025-11-06 14:41:34 | Age: 12d 5h | Side: SHORT | Amount: 25.9502 | Price: $0.16 | Margin: $0.21 | Fee: $0.00
  ID: 150 | Time: 2025-11-06 14:50:05 | Age: 12d 5h | Side: SHORT | Amount: 15.7100 | Price: $0.16 | Margin: $0.13 | Fee: $0.00
  ID: 163 | Time: 2025-11-06 15:03:30 | Age: 12d 5h | Side: SHORT | Amount: 0.0223 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 171 | Time: 2025-11-06 15:11:51 | Age: 12d 5h | Side: SHORT | Amount: 0.0135 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 177 | Time: 2025-11-06 15:19:55 | Age: 12d 5h | Side: SHORT | Amount: 0.0069 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 181 | Time: 2025-11-06 15:24:06 | Age: 12d 5h | Side: SHORT | Amount: 1.5323 | Price: $0.16 | Margin: $0.01 | Fee: $0.00
  ID: 185 | Time: 2025-11-06 15:28:21 | Age: 12d 5h | Side: SHORT | Amount: 0.0036 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 191 | Time: 2025-11-06 15:36:58 | Age: 12d 5h | Side: SHORT | Amount: 0.0019 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 194 | Time: 2025-11-06 15:40:55 | Age: 12d 4h | Side: SHORT | Amount: 0.5750 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 199 | Time: 2025-11-06 15:46:57 | Age: 12d 4h | Side: SHORT | Amount: 0.0010 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 204 | Time: 2025-11-06 15:49:07 | Age: 12d 4h | Side: SHORT | Amount: 0.2967 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 213 | Time: 2025-11-06 16:06:57 | Age: 12d 4h | Side: SHORT | Amount: 0.0003 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 218 | Time: 2025-11-06 16:08:06 | Age: 12d 4h | Side: SHORT | Amount: 0.0924 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 222 | Time: 2025-11-06 16:15:35 | Age: 12d 4h | Side: SHORT | Amount: 0.0001 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 230 | Time: 2025-11-06 16:25:00 | Age: 12d 4h | Side: SHORT | Amount: 0.0001 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 241 | Time: 2025-11-06 16:37:08 | Age: 12d 4h | Side: SHORT | Amount: 0.0149 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 247 | Time: 2025-11-06 16:43:06 | Age: 12d 3h | Side: SHORT | Amount: 0.0000 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 253 | Time: 2025-11-06 16:47:33 | Age: 12d 3h | Side: SHORT | Amount: 0.0047 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 257 | Time: 2025-11-06 16:51:17 | Age: 12d 3h | Side: SHORT | Amount: 0.0000 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 263 | Time: 2025-11-06 16:55:00 | Age: 12d 3h | Side: SHORT | Amount: 0.0015 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 272 | Time: 2025-11-06 17:02:12 | Age: 12d 3h | Side: SHORT | Amount: 0.0005 | Price: $0.16 | Margin: $0.00 | Fee: $0.00
  ID: 301 | Time: 2025-11-06 17:15:13 | Age: 12d 3h | Side: SHORT | Amount: 68125.3899 | Price: $0.16 | Margin: $540.75 | Fee: $10.81
  ID: 313 | Time: 2025-11-06 17:23:05 | Age: 12d 3h | Side: SHORT | Amount: 52787.2957 | Price: $0.16 | Margin: $419.92 | Fee: $8.40
  Subtotal: $2,352.45

BNB/USDT (26 positions)
----------------------------------------------------------------------------------------------------
  ID: 110 | Time: 2025-11-06 13:15:59 | Age: 12d 7h | Side: SHORT | Amount: 0.1038 | Price: $944.33 | Margin: $4.90 | Fee: $0.10
  ID: 112 | Time: 2025-11-06 13:23:57 | Age: 12d 7h | Side: SHORT | Amount: 0.0745 | Price: $944.33 | Margin: $3.52 | Fee: $0.07
  ID: 115 | Time: 2025-11-06 13:31:52 | Age: 12d 7h | Side: SHORT | Amount: 0.0453 | Price: $944.33 | Margin: $2.14 | Fee: $0.04
  ID: 118 | Time: 2025-11-06 13:40:32 | Age: 12d 6h | Side: SHORT | Amount: 0.0324 | Price: $947.15 | Margin: $1.53 | Fee: $0.03
  ID: 119 | Time: 2025-11-06 13:44:58 | Age: 12d 6h | Side: SHORT | Amount: 0.0002 | Price: $947.15 | Margin: $0.01 | Fee: $0.00
  ID: 123 | Time: 2025-11-06 13:52:58 | Age: 12d 6h | Side: SHORT | Amount: 0.0002 | Price: $947.15 | Margin: $0.01 | Fee: $0.00
  ID: 127 | Time: 2025-11-06 13:58:42 | Age: 12d 6h | Side: SHORT | Amount: 0.0141 | Price: $947.15 | Margin: $0.67 | Fee: $0.01
  ID: 130 | Time: 2025-11-06 14:15:06 | Age: 12d 6h | Side: SHORT | Amount: 0.0102 | Price: $938.07 | Margin: $0.48 | Fee: $0.01
  ID: 132 | Time: 2025-11-06 14:26:24 | Age: 12d 6h | Side: SHORT | Amount: 0.0001 | Price: $938.07 | Margin: $0.00 | Fee: $0.00
  ID: 135 | Time: 2025-11-06 14:32:16 | Age: 12d 6h | Side: SHORT | Amount: 0.0086 | Price: $940.49 | Margin: $0.41 | Fee: $0.01
  ID: 139 | Time: 2025-11-06 14:34:43 | Age: 12d 6h | Side: SHORT | Amount: 0.0001 | Price: $940.49 | Margin: $0.00 | Fee: $0.00
  ID: 146 | Time: 2025-11-06 14:42:47 | Age: 12d 5h | Side: SHORT | Amount: 0.0000 | Price: $935.13 | Margin: $0.00 | Fee: $0.00
  ID: 153 | Time: 2025-11-06 14:52:48 | Age: 12d 5h | Side: SHORT | Amount: 0.0000 | Price: $940.03 | Margin: $0.00 | Fee: $0.00
  ID: 156 | Time: 2025-11-06 14:57:29 | Age: 12d 5h | Side: SHORT | Amount: 0.0019 | Price: $940.03 | Margin: $0.09 | Fee: $0.00
  ID: 161 | Time: 2025-11-06 15:01:41 | Age: 12d 5h | Side: SHORT | Amount: 0.0000 | Price: $936.26 | Margin: $0.00 | Fee: $0.00
  ID: 166 | Time: 2025-11-06 15:05:50 | Age: 12d 5h | Side: SHORT | Amount: 0.0008 | Price: $936.26 | Margin: $0.04 | Fee: $0.00
  ID: 175 | Time: 2025-11-06 15:19:04 | Age: 12d 5h | Side: SHORT | Amount: 0.0000 | Price: $940.74 | Margin: $0.00 | Fee: $0.00
